Designator,Mid X,Mid Y,Rotation,Layer
BT1,143.2875,-80.5975,180.0,top
C1,145.1475,-62.6375,0.0,top
C11,145.6575,-59.4475,90.0,top
C2,134.1375,-72.8375,90.0,top
C22,140.6075,-60.9375,90.0,top
C3,134.1275,-77.6575,270.0,top
C4,134.1375,-74.6675,90.0,top
D1,27.2975,-59.35,0.0,top
D10,84.3875,-65.92,0.0,top
D11,103.7175,-70.87,0.0,top
D12,122.4875,-76.05,0.0,top
D13,27.1875,-97.5,0.0,top
D14,46.2875,-97.5,0.0,top
D15,65.2975,-89.86,0.0,top
D16,84.4175,-84.8,0.0,top
D17,103.5175,-90.0,0.0,top
D18,122.6275,-94.96,0.0,top
D2,46.3675,-59.39,0.0,top
D25,103.4875,-108.94875,0.0,top
D26,122.725,-114.02125,0.0,top
D27,141.8675,-114.0775,0.0,top
D28,144.0375,-59.1275,90.0,top
D29,144.665,-66.1175,0.0,top
D3,65.3475,-51.72,0.0,top
D4,84.4875,-46.93,0.0,top
D5,103.4375,-51.89,0.0,top
D6,122.5075,-56.83,0.0,top
D7,27.3375,-78.47,0.0,top
D8,46.2675,-78.38,0.0,top
D9,65.3475,-70.86,0.0,top
J1,137.3875,-53.335,180.0,top
Q1,137.0075,-64.6475,180.0,top
R1,136.6175,-79.5675,90.0,top
R11,136.9475,-62.1675,180.0,top
R12,144.1775,-64.5475,0.0,top
R2,137.5675,-79.5675,90.0,top
R3,138.9975,-59.12,90.0,top
R4,135.6075,-59.1075,90.0,top
R7,143.9875,-55.7875,90.0,top
SW1,27.2875,-61.68,0.0,top
SW10,84.4375,-68.23,0.0,top
SW11,103.4875,-73.23,0.0,top
SW12,122.5375,-78.23,0.0,top
SW13,27.2875,-99.78,0.0,top
SW14,46.3375,-99.78,0.0,top
SW15,65.3875,-92.28,0.0,top
SW16,84.4375,-87.28,0.0,top
SW17,103.4875,-92.28,0.0,top
SW18,122.5375,-97.28,0.0,top
SW2,46.3375,-61.68,0.0,top
SW25,103.48875,-111.3275,0.0,top
SW26,122.545,-116.32125,0.0,top
SW27,141.5875,-116.3275,0.0,top
SW3,65.3875,-54.18,0.0,top
SW4,84.4375,-49.18,0.0,top
SW5,103.4875,-54.18,0.0,top
SW6,122.5375,-59.18,0.0,top
SW7,27.2875,-80.73,0.0,top
SW8,46.3375,-80.73,0.0,top
SW9,65.3875,-73.23,0.0,top
U1,142.8675,-72.8675,270.0,top
U2,141.1975,-63.5475,0.0,top
U4,132.5775,-66.25,90.0,top
